ticker,fiscalPeriod,earningsDate,fiscalEndDate,epsActual,epsEstimate,epsReportedActual,epsReportedEstimate,salesActual,salesEstimate,epsAnalysts,epsReportedAnalysts,salesAnalysts,peRatio,peRatioGaap,psRatio
AAPL,2010FY,,2010-09-30,0.5411,0.5216,0.5411,0.5216,65225.0,63761.4674,38,38,43,505.895,505.895,
AAPL,2011FY,,2011-09-30,0.9886,0.9981,0.9886,0.9981,108249.0,109068.7551,49,49,49,276.897,276.897,
AAPL,2012FY,,2012-09-30,1.5768,1.5804,1.5768,1.5804,156508.0,156202.12,51,51,50,173.605,173.605,
AAPL,2013FY,,2013-09-30,1.4196,1.4069,1.4196,1.4069,170910.0,170340.4314,52,52,51,192.829,192.829,
AAPL,2014FY,,2014-09-30,1.6125,1.5834,1.6125,1.5834,182795.0,180681.3111,47,47,45,169.761,169.761,
AAPL,2015FY,,2015-09-30,2.305,2.2825,2.305,2.2825,233715.0,233234.4043,51,51,47,118.759,118.759,
AAPL,2016FY,,2016-09-30,2.0775,2.0678,2.078,2.0681,215639.0,215720.8293,44,43,41,13.604,13.601,
AAPL,2017FY,,2017-09-30,2.3025,2.2481,2.303,2.2481,229234.0,227461.9394,35,35,33,16.734,16.73,
AAPL,2018FY,,2018-09-30,2.9775,2.937,2.978,2.937,265595.0,264521.7568,41,41,37,18.954,18.951,3.733
AAPL,2019FY,,2019-09-30,2.9725,2.9194,2.971,2.9194,260174.0,259058.7355,42,42,38,18.837,18.846,7.603
AAPL,2020FY,,2020-09-30,3.28,3.2462,3.275,3.2462,274515.0,273305.4347,38,38,34,35.308,35.362,8.601
AAPL,2021FY,,2021-09-30,5.61,5.5974,5.614,5.5898,365817.0,366183.1061,42,41,40,25.223,25.205,6.259
AAPL,2022FY,,2022-09-30,6.11,6.0984,6.113,6.0984,394328.0,392776.8316,38,38,35,22.619,22.608,6.788
AAPL,2023FY,,2023-09-30,6.13,6.0574,6.134,6.0574,383285.0,383085.2486,41,41,41,27.93,27.912,9.036
AAPL,2024FY,,2024-09-30,6.75,6.7082,6.084,6.7082,391035.0,390480.7018,41,41,42,34.519,38.297,9.656
AAPL,2025FY,,2025-09-30,7.46,7.3818,7.46,7.3818,416161.0,415406.8824,47,47,47,34.133,34.133,9.688
AAPL,2026FY,,2026-09-30,,8.4553,,8.4553,,462287.7756,46,46,45,32.375,32.375,8.693
AAPL,2027FY,,2027-09-30,,9.2813,,9.2813,,493072.2317,46,46,45,29.494,29.494,8.151
AAPL,2028FY,,2028-09-30,,10.2504,,10.2504,,521773.5401,21,21,24,26.705,26.705,7.702
AAPL,2029FY,,2029-09-30,,11.4237,,11.4237,,559689.5039,4,4,4,23.962,23.962,7.18
AAPL,2030FY,,2030-09-30,,12.765,,12.765,,566239.0,2,2,2,21.445,21.445,7.097
