Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4
KONDO CHRIS,Principal Accounting Officer,Nov 07 '25,Sale,271.23,"3,752","1,017,655","15,098",Nov 12 06:30 PM
Parekh Kevan,"Senior Vice President, CFO",Oct 16 '25,Sale,247.39,"4,199","1,038,787","8,765",Oct 17 06:31 PM
KEVAN PAREKH,Officer,Oct 16 '25,Proposed Sale,249.34,"4,199","1,046,979",,Oct 16 04:23 PM
COOK TIMOTHY D,Chief Executive Officer,Oct 02 '25,Sale,256.81,"129,963","33,375,723","3,280,295",Oct 03 06:33 PM
O'BRIEN DEIRDRE,Senior Vice President,Oct 02 '25,Sale,257.39,"43,013","11,071,078","136,687",Oct 03 06:32 PM
Adams Katherine L.,"SVP, GC and Secretary",Oct 02 '25,Sale,256.79,"47,125","12,101,154","179,158",Oct 03 06:30 PM
KATHERINE L ADAMS,Officer,Oct 02 '25,Proposed Sale,255.45,"47,125","12,038,081",,Oct 02 04:25 PM
O'BRIEN DEIRDRE,Officer,Oct 02 '25,Proposed Sale,257.38,"43,013","11,070,897",,Oct 02 04:10 PM
COOK TIMOTHY D,Officer,Oct 02 '25,Proposed Sale,256.81,"129,962","33,375,268",,Oct 02 04:09 PM
WILLIAMS JEFFREY E,Officer,Oct 02 '25,Proposed Sale,256.58,"43,013","11,036,060",,Oct 02 04:04 PM
LEVINSON ARTHUR D,Director,Aug 28 '25,Sale,232.07,"90,000","20,886,300","4,069,576",Aug 29 06:30 PM
LEVINSON ARTHUR D,Director,Aug 28 '25,Proposed Sale,232.07,"90,000","20,885,966",,Aug 28 04:03 PM
O'BRIEN DEIRDRE,Senior Vice President,Aug 08 '25,Sale,223.20,"34,821","7,772,047","136,687",Aug 12 06:30 PM
O'BRIEN DEIRDRE,Officer,Aug 08 '25,Proposed Sale,223.20,"34,821","7,772,065",,Aug 08 04:07 PM
KONDO CHRIS,Principal Accounting Officer,May 12 '25,Sale,208.19,"4,486","933,955","15,533",May 14 06:30 PM
Parekh Kevan,"Senior Vice President, CFO",Apr 23 '25,Sale,206.00,"4,570","941,420","4,569",Apr 25 06:30 PM
KEVAN PAREKH,Officer,Apr 23 '25,Proposed Sale,199.74,"4,570","912,812",,Apr 23 04:22 PM
WILLIAMS JEFFREY E,COO,Apr 02 '25,Sale,224.01,"35,493","7,950,691","390,059",Apr 03 06:33 PM
COOK TIMOTHY D,Chief Executive Officer,Apr 02 '25,Sale,223.65,"108,136","24,184,658","3,280,295",Apr 03 06:32 PM
Adams Katherine L.,"SVP, GC and Secretary",Apr 02 '25,Sale,223.67,"38,822","8,683,252","179,158",Apr 03 06:31 PM
KATHERINE L ADAMS,Officer,Apr 02 '25,Proposed Sale,223.19,"38,822","8,664,682",,Apr 02 04:26 PM
WILLIAMS JEFFREY E,Officer,Apr 02 '25,Proposed Sale,224.01,"35,493","7,950,684",,Apr 02 04:14 PM
COOK TIMOTHY D,Officer,Apr 02 '25,Proposed Sale,223.65,"108,136","24,184,498",,Apr 02 04:12 PM
