2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30
416161.00000,391035.00000,383285.00000,394328.00000,365817.00000,274515.00000,260174.00000,265595.00000,229234.00000,215639.00000,233715.00000,182795.00000,170910.00000,156508.00000,108249.00000
220960.00000,210352.00000,214137.00000,223546.00000,212981.00000,169559.00000,161782.00000,163756.00000,141048.00000,131376.00000,140089.00000,112258.00000,106606.00000,87846.00000,64431.00000
195201.00000,180683.00000,169148.00000,170782.00000,152836.00000,104956.00000,98392.00000,101839.00000,88186.00000,84263.00000,93626.00000,70537.00000,64304.00000,68662.00000,43818.00000
34550.00000,31370.00000,29915.00000,26251.00000,21914.00000,18752.00000,16217.00000,14236.00000,11581.00000,10045.00000,8067.00000,6041.00000,4475.00000,3381.00000,2429.00000
27601.00000,26097.00000,24932.00000,25094.00000,21973.00000,19916.00000,18245.00000,16705.00000,15261.00000,14194.00000,14329.00000,11993.00000,10830.00000,10040.00000,7599.00000
,,,,,,,,,,,,,,
62151.00000,57467.00000,54847.00000,51345.00000,43887.00000,38668.00000,34462.00000,30941.00000,26842.00000,24239.00000,22396.00000,18034.00000,15305.00000,13421.00000,10028.00000
133050.00000,123216.00000,114301.00000,119437.00000,108949.00000,66288.00000,63930.00000,70898.00000,61344.00000,60024.00000,71230.00000,52503.00000,48999.00000,55241.00000,33790.00000
-321.00000,269.00000,-565.00000,-334.00000,258.00000,803.00000,1807.00000,2005.00000,2745.00000,1348.00000,1285.00000,980.00000,1156.00000,522.00000,415.00000
132729.00000,123485.00000,113736.00000,119103.00000,109207.00000,67091.00000,65737.00000,72903.00000,64089.00000,61372.00000,72515.00000,53483.00000,50155.00000,55763.00000,34205.00000
20719.00000,29749.00000,16741.00000,19300.00000,14527.00000,9680.00000,10481.00000,13372.00000,15738.00000,15685.00000,19121.00000,13973.00000,13118.00000,14030.00000,8283.00000
112010.00000,93736.00000,96995.00000,99803.00000,94680.00000,57411.00000,55256.00000,59531.00000,48351.00000,45687.00000,53394.00000,39510.00000,37037.00000,41733.00000,25922.00000
,,,,,,,,,,,,,,
112010.00000,93736.00000,96995.00000,99803.00000,94680.00000,57411.00000,55256.00000,59531.00000,48351.00000,45687.00000,53394.00000,39510.00000,37037.00000,41733.00000,25922.00000
,,,,,,,,,,,,,,
112010.00000,93736.00000,96995.00000,99803.00000,94680.00000,57411.00000,55256.00000,59531.00000,48351.00000,45687.00000,53394.00000,39510.00000,37037.00000,41733.00000,25922.00000
144748.00000,134661.00000,125820.00000,130541.00000,120233.00000,77344.00000,76477.00000,81801.00000,71501.00000,70529.00000,82487.00000,60449.00000,55756.00000,58518.00000,35604.00000
133050.00000,123216.00000,114301.00000,119437.00000,108949.00000,66288.00000,63930.00000,70898.00000,61344.00000,60024.00000,71230.00000,52503.00000,48999.00000,55241.00000,33790.00000
14948.50000,15343.78000,15744.23000,16215.96000,16701.27000,17352.12000,18471.34000,19821.51000,20868.97000,21883.28000,23013.68000,24342.29000,25909.28000,26174.90000,25879.22000
15004.70000,15408.09000,15812.55000,16325.82000,16864.92000,17528.21000,18595.65000,20000.44000,21006.77000,22001.12000,23172.28000,24490.65000,26086.54000,26469.93000,26226.06000
7.49000,6.11000,6.16000,6.15000,5.67000,3.31000,2.99000,3.00000,2.31750,2.08750,2.32000,1.62250,1.43000,1.59500,1.00180
7.46000,6.08000,6.13000,6.11000,5.61000,3.28000,2.97000,2.98000,2.30250,2.07750,2.30500,1.61250,1.42000,1.57750,0.98860
